lat,lon,time
15.2921477,-61.3831311,2011-03-03T12:20:02Z
15.2919841,-61.3832187,2011-03-03T12:20:14Z
15.2918430,-61.3832938,2011-03-03T12:20:24Z
15.2917022,-61.3833688,2011-03-03T12:20:34Z
15.2915625,-61.3834438,2011-03-03T12:20:44Z
15.2914235,-61.3835195,2011-03-03T12:20:54Z
15.2912841,-61.3835945,2011-03-03T12:21:04Z
15.2911472,-61.3836679,2011-03-03T12:21:14Z
15.2909403,-61.3837758,2011-03-03T12:21:24Z
15.2906220,-61.3839055,2011-03-03T12:21:34Z
15.2902886,-61.3840440,2011-03-03T12:21:44Z
15.2899594,-61.3841911,2011-03-03T12:21:54Z
15.2896403,-61.3843503,2011-03-03T12:22:04Z
15.2893163,-61.3845273,2011-03-03T12:22:14Z
15.2888542,-61.3847972,2011-03-03T12:22:24Z
15.2883144,-61.3851414,2011-03-03T12:22:34Z
15.2875984,-61.3854503,2011-03-03T12:22:44Z
15.2867640,-61.3857332,2011-03-03T12:22:54Z
15.2858715,-61.3860310,2011-03-03T12:23:04Z
15.2849627,-61.3863560,2011-03-03T12:23:14Z
15.2839569,-61.3867832,2011-03-03T12:23:24Z
15.2826526,-61.3872269,2011-03-03T12:23:34Z
15.2812881,-61.3876435,2011-03-03T12:23:44Z
15.2799186,-61.3881025,2011-03-03T12:23:54Z
15.2785167,-61.3885707,2011-03-03T12:24:04Z
15.2770972,-61.3890188,2011-03-03T12:24:14Z
15.2756476,-61.3894249,2011-03-03T12:24:24Z
15.2742162,-61.3899398,2011-03-03T12:24:34Z
15.2726382,-61.3905174,2011-03-03T12:24:44Z
15.2711350,-61.3910720,2011-03-03T12:24:54Z
15.2698930,-61.3915985,2011-03-03T12:25:04Z
15.2688096,-61.3920010,2011-03-03T12:25:14Z
15.2679989,-61.3923067,2011-03-03T12:25:24Z
15.2672528,-61.3925696,2011-03-03T12:25:34Z
15.2665439,-61.3929231,2011-03-03T12:25:44Z
15.2658860,-61.3933182,2011-03-03T12:25:54Z
15.2652442,-61.3937274,2011-03-03T12:26:04Z
15.2647418,-61.3940356,2011-03-03T12:26:14Z
15.2643741,-61.3940942,2011-03-03T12:26:24Z
15.2640301,-61.3941281,2011-03-03T12:26:34Z
15.2636898,-61.3941461,2011-03-03T12:26:44Z
15.2633427,-61.3941366,2011-03-03T12:26:54Z
15.2629983,-61.3941677,2011-03-03T12:27:04Z
15.2626625,-61.3942516,2011-03-03T12:27:14Z
15.2623399,-61.3943807,2011-03-03T12:27:24Z
15.2620069,-61.3944729,2011-03-03T12:27:34Z
15.2616629,-61.3945341,2011-03-03T12:27:44Z
15.2613119,-61.3945846,2011-03-03T12:27:54Z
15.2609887,-61.3946608,2011-03-03T12:28:04Z
15.2606776,-61.3947625,2011-03-03T12:28:14Z
15.2603712,-61.3949162,2011-03-03T12:28:24Z
15.2600096,-61.3949506,2011-03-03T12:28:34Z
15.2596228,-61.3951278,2011-03-03T12:28:44Z
15.2590663,-61.3956250,2011-03-03T12:28:54Z
15.2583170,-61.3962509,2011-03-03T12:29:04Z
15.2574192,-61.3970687,2011-03-03T12:29:14Z
15.2565205,-61.3979040,2011-03-03T12:29:24Z
15.2556009,-61.3987771,2011-03-03T12:29:34Z
15.2546551,-61.3996741,2011-03-03T12:29:44Z
15.2537335,-61.4006014,2011-03-03T12:29:54Z
15.2528509,-61.4015493,2011-03-03T12:30:04Z
15.2519387,-61.4024528,2011-03-03T12:30:14Z
15.2510203,-61.4033542,2011-03-03T12:30:24Z
15.2501255,-61.4042628,2011-03-03T12:30:34Z
15.2492347,-61.4051656,2011-03-03T12:30:44Z
15.2483374,-61.4060625,2011-03-03T12:30:54Z
15.2474274,-61.4069472,2011-03-03T12:31:04Z
15.2465649,-61.4078758,2011-03-03T12:31:14Z
15.2457112,-61.4088178,2011-03-03T12:31:24Z
15.2449135,-61.4098194,2011-03-03T12:31:34Z
15.2441100,-61.4108078,2011-03-03T12:31:44Z
15.2433020,-61.4118031,2011-03-03T12:31:54Z
15.2424593,-61.4127736,2011-03-03T12:32:04Z
15.2416132,-61.4137403,2011-03-03T12:32:14Z
15.2407332,-61.4146542,2011-03-03T12:32:24Z
15.2398707,-61.4155855,2011-03-03T12:32:34Z
15.2389667,-61.4164930,2011-03-03T12:32:44Z
15.2381021,-61.4174050,2011-03-03T12:32:54Z
15.2372852,-61.4183355,2011-03-03T12:33:04Z
15.2364869,-61.4192509,2011-03-03T12:33:14Z
15.2355936,-61.4200883,2011-03-03T12:33:24Z
15.2346617,-61.4208903,2011-03-03T12:33:34Z
15.2337436,-61.4216991,2011-03-03T12:33:44Z
15.2328195,-61.4225134,2011-03-03T12:33:54Z
15.2319004,-61.4233591,2011-03-03T12:34:04Z
15.2310070,-61.4242363,2011-03-03T12:34:14Z
15.2300652,-61.4250433,2011-03-03T12:34:24Z
15.2290695,-61.4257809,2011-03-03T12:34:34Z
15.2280585,-61.4264813,2011-03-03T12:34:44Z
15.2270846,-61.4272216,2011-03-03T12:34:54Z
15.2297664,-61.4252712,2011-03-03T12:35:48Z
15.2211818,-61.4327083,2011-03-03T12:35:59Z
15.2202327,-61.4336485,2011-03-03T12:36:10Z
15.2196148,-61.4342666,2011-03-03T12:36:20Z
15.2194144,-61.4344135,2011-03-03T12:36:30Z
15.2193216,-61.4345120,2011-03-03T12:36:40Z
15.2192808,-61.4345840,2011-03-03T12:36:50Z
15.2192623,-61.4346523,2011-03-03T12:37:00Z
15.2192513,-61.4347195,2011-03-03T12:37:10Z
15.2192407,-61.4347781,2011-03-03T12:37:20Z
15.2192368,-61.4348353,2011-03-03T12:37:30Z
15.2192314,-61.4348954,2011-03-03T12:37:40Z
15.2192312,-61.4349570,2011-03-03T12:37:50Z
15.2192269,-61.4350138,2011-03-03T12:38:00Z
15.2192257,-61.4350683,2011-03-03T12:38:10Z
15.2192295,-61.4351310,2011-03-03T12:38:20Z
15.2192324,-61.4351880,2011-03-03T12:38:30Z
15.2192361,-61.4352331,2011-03-03T12:38:40Z
15.2192355,-61.4353036,2011-03-03T12:38:50Z
15.2192460,-61.4353667,2011-03-03T12:39:00Z
15.2192560,-61.4354266,2011-03-03T12:39:10Z
15.2192683,-61.4354795,2011-03-03T12:39:20Z
15.2192788,-61.4355346,2011-03-03T12:39:30Z
15.2192792,-61.4355929,2011-03-03T12:39:40Z
15.2192891,-61.4356510,2011-03-03T12:39:50Z
15.2192980,-61.4357013,2011-03-03T12:40:00Z
15.2193097,-61.4357491,2011-03-03T12:40:10Z
15.2193213,-61.4358003,2011-03-03T12:40:20Z
15.2193295,-61.4358486,2011-03-03T12:40:30Z
15.2193417,-61.4358955,2011-03-03T12:40:40Z
15.2193526,-61.4359536,2011-03-03T12:40:50Z
15.2193583,-61.4360079,2011-03-03T12:41:00Z
15.2193620,-61.4360643,2011-03-03T12:41:10Z
15.2193611,-61.4361149,2011-03-03T12:41:20Z
15.2193586,-61.4361622,2011-03-03T12:41:30Z
15.2193563,-61.4362079,2011-03-03T12:41:40Z
15.2193580,-61.4362593,2011-03-03T12:41:50Z
15.2193559,-61.4363121,2011-03-03T12:42:00Z
15.2193522,-61.4363637,2011-03-03T12:42:10Z
15.2193488,-61.4364168,2011-03-03T12:42:20Z
15.2193471,-61.4364643,2011-03-03T12:42:30Z
15.2193430,-61.4365145,2011-03-03T12:42:40Z
15.2193389,-61.4365623,2011-03-03T12:42:50Z
15.2193433,-61.4366182,2011-03-03T12:43:00Z
15.2193413,-61.4366711,2011-03-03T12:43:10Z
15.2193357,-61.4367216,2011-03-03T12:43:20Z
15.2193212,-61.4367825,2011-03-03T12:43:30Z
15.2193160,-61.4368384,2011-03-03T12:43:40Z
15.2193155,-61.4368774,2011-03-03T12:43:50Z
15.2193196,-61.4369180,2011-03-03T12:44:00Z
15.2193186,-61.4369591,2011-03-03T12:44:10Z
15.2193180,-61.4370041,2011-03-03T12:44:20Z
15.2193164,-61.4370472,2011-03-03T12:44:30Z
15.2193191,-61.4370879,2011-03-03T12:44:40Z
15.2193207,-61.4371291,2011-03-03T12:44:50Z
15.2193259,-61.4371684,2011-03-03T12:45:00Z
15.2193303,-61.4372062,2011-03-03T12:45:10Z
15.2193350,-61.4372502,2011-03-03T12:45:20Z
15.2193358,-61.4372896,2011-03-03T12:45:30Z
15.2193414,-61.4373404,2011-03-03T12:45:40Z
15.2193498,-61.4373883,2011-03-03T12:45:50Z
15.2193536,-61.4374363,2011-03-03T12:46:00Z
15.2193573,-61.4374865,2011-03-03T12:46:10Z
15.2193563,-61.4375358,2011-03-03T12:46:20Z
15.2193547,-61.4375862,2011-03-03T12:46:30Z
15.2193534,-61.4376321,2011-03-03T12:46:40Z
15.2193471,-61.4377307,2011-03-03T12:46:50Z
15.2193661,-61.4378708,2011-03-03T12:47:00Z
15.2194585,-61.4379656,2011-03-03T12:47:10Z
15.2195973,-61.4380593,2011-03-03T12:47:20Z
15.2197932,-61.4381841,2011-03-03T12:47:30Z
15.2201558,-61.4383795,2011-03-03T12:47:40Z
15.2205427,-61.4386075,2011-03-03T12:47:50Z
15.2210374,-61.4388954,2011-03-03T12:48:00Z
15.2217295,-61.4391726,2011-03-03T12:48:10Z
15.2225463,-61.4393863,2011-03-03T12:48:20Z
15.2233186,-61.4396497,2011-03-03T12:48:30Z
15.2239552,-61.4399305,2011-03-03T12:48:40Z
15.2246558,-61.4402174,2011-03-03T12:48:50Z
15.2252762,-61.4404324,2011-03-03T12:49:00Z
15.2257852,-61.4406757,2011-03-03T12:49:10Z
15.2265081,-61.4409824,2011-03-03T12:49:20Z
15.2272619,-61.4412077,2011-03-03T12:49:30Z
15.2278684,-61.4414357,2011-03-03T12:49:40Z
15.2284179,-61.4416999,2011-03-03T12:49:50Z
15.2291151,-61.4419719,2011-03-03T12:50:00Z
